Product Name,Discount Prices(?),Actual Prices(?),Weight/Type,Discount Percentage(%),Rating,Users
ZORDAN JOJOBA MOISTURISING LOTION (100ML*2),179,575,200 ml,32% off,4.3,247
Aveeno Active Naturals Daily Moisturising Lotion,384,369,71 ml,25% off,4.2,"64,529"
Joy Honey & Almonds Advanced Nourishing Body Lotion For...,200,360,500 ml,1% off,4.4,"1,98,315"
Vaseline intensive Care Deep Moisture Nourishing Body L...,339,375,400 ml,60% off,4.4,49
KEYA SETH AROMATHERAPY Skin Defence Orange Face & Body ...,190,649,200 ml,30% off,4.4,132
Dhathri Daily Use Moisturizer With SPF 20+ |,236,499,200 ml,52% off,4.3,68
Cetaphil DAM DAILY ADVANCE ULTRA HYDRATING LOTION,237,496,30 g,18% off,4.2,78
Parachute Advansed Deep Nourish Body Lotion,323,399,800 ml,10% off,4.5,"1,22,214"
Cara Mia Nourishing Honey & Almond Body Lotion,349,540,400 ml,12% off,4.3,"14,905"
Jovees Herbal Shea Butter Moisturizer - Rich Cream with...,204,"1,699",100 g,30% off,4.1,472
Modicare Essensual Hand & Body Lotion With Glycerine & ...,240,460,200 ml,16% off,4.8,5
PALMER'S Cocoa Butter Formula Massage Lotion for Stretc...,492,620,250 ml,5% off,4.4,"2,618"
Vaseline Intensive Care Cocoa Glow Nourishing Body Seru...,370,80,400 ml,58% off,4.4,"20,469"
Vaseline Gluta Hya Dewy Radiance,315,585,200 ml,30% off,3.9,25
MARYAM Body Lotion,638,"1,699",40 ml,7% off,4.6,391
LACDERM moisturizing Lotion Skin Repair and Relief Body...,599,425,150 ml,45% off,4.2,48
mCaffeine Summer Breeze Perfume Body Lotion | Deeply Mo...,373,850,300 ml,1% off,4.2,11
"Parachute Advansed Deep Nourish Body Lotion, 600ml",258,499,600 ml,2% off,4.5,"2,87,188"
Santoor Body Lotion Whitening & UV Protection,10,375,20 ml,55% off,4.4,"1,664"
VLCC Deep Nourishing Body Lotion with UV Protect | HA &...,332,"1,699",350 ml,22% off,4.2,515
INTAS EMODEL DS,300,680,200 g,12% off,4.5,107
REMOIZ -c moisturising lotion,353,480,100 ml,8% off,4.3,"6,485"
Vaseline intensive Care Deep Nourishing Body Lotion Moi...,441,450,600 ml,15% off,4.3,"56,541"
mCaffeine Sweet Escape Perfume Body Lotion |Deeply Butt...,373,435,300 ml,62% off,4.3,"4,470"
POND's Body Lotion,105,135,90 ml,20% off,4.1,415
Secalia Lotion-Glycerin Lotion ( Pack Of 2*100ml ),489,329,200 ml,21% off,4.5,109
BAJAJ Almond Drops Nourishing Body Lotion,159,279,400 ml,19% off,3.7,3
"Vaseline Healthy Bright Daily Brightening Body Lotion,V...",378,770,400 ml,10% off,3.7,26
Vaseline Intensive Care Deep Moisture Body Lotion,90,325,90 ml,28% off,4.3,"84,617"
JERGENS Original Scent Cherry-Almond Moisturizer,807,545,599 ml,37% off,4.9,9
Glymax INTENSE SKIN HYDRATOR LOTION,373,299,200 ml,35% off,4.1,913
UNIZA Unihyzi Lotion 2x100ml Pack,556,600,200 ml,25% off,4.3,"91,510"
Multani Natural Cocoa Butter & Aloevera Body Lotion | N...,70,350,100 ml,55% off,4.3,"25,009"
Vaseline Healthy Bright Sun+Pollution Protection Body L...,409,499,400 ml,43% off,4.4,328
Carotone ANTI-SPOTS LOTION,"1,424",449,50 ml,29% off,4,471
VLCC Deep Hydrating Serum Body Lotion with Cocoa Butter...,403,375,600 ml,25% off,4.4,116
Parachute Advansed Advansed Soft Touch Body Lotion,353,499,800 ml,32% off,4.3,"2,47,834"
POND's Niacinamide Nourishing Body Lotion 400 ml,349,575,400 ml,25% off,4.4,"3,98,320"
Oshea Herbals Sheasoft Intensive Lotion,347,490,400 ml,16% off,4.2,63
JERGENS Ultra Healing,934,299,600 ml,14% off,4.2,268
hoop Sleep Body Lotion - Magnesium & Lavender to Relax ...,670,209,250 ml,60% off,4.2,"64,529"
Prugo Soothing and Hydrating Lotion,467,649,100 ml,30% off,4.4,"1,98,315"
Joy Honey & Almonds Advanced Nourishing Body Lotion For...,200,499,500 ml,20% off,4.4,114
Vaseline intensive Care Deep Moisture Nourishing Body L...,339,499,400 ml,26% off,4.4,350
Sunny Herbals Moisturizing Lotion with Aloe Vera and Ca...,118,714,100 ml,30% off,4.4,9
VLCC Honey Moisturiser For Deep Moisturization & Nouris...,300,399,210 ml,29% off,4.4,57
Cetaphil DAM DAILY ADVANCE ULTRA HYDRATING LOTION,237,540,30 g,12% off,4.3,"14,905"
Parachute Advansed Deep Nourish Body Lotion,292,295,800 ml,30% off,4.5,"1,22,214"
LOTUS HERBALS Cocoa Caress Daily Hand & Body Lotion 250...,258,525,250 ml,16% off,4.5,183
Vaseline DEEP MOISTURE JELLY DRY SKIN BODY LOTION 600 M...,427,350,600,23% off,4.3,156
Avon Naturals White Lily & Rose Hand & Body Lotion,241,990,200 ml,58% off,4.4,"2,618"
Ayur Moisturizer with aloevera and cucumber rich in Vit...,595,80,1000 ml,30% off,4.4,"20,469"
Vaseline Gluta Hya Dewy Radiance,315,585,200 ml,24% off,4.2,253
Vaseline Intensive Care Cocoa Glow Nourishing Body Seru...,359,445,400 ml,3% off,4.4,56
RICHFEEL Almond Nourishing Body Lotion | Intense Moistu...,279,260,400 ml,8% off,4.2,235
JOVEES Body Lotion (HONEY AND GRAPE)-300ML,243,850,300 ml,11% off,4.5,"2,87,188"
mCaffeine Summer Breeze Perfume Body Lotion | Deeply Mo...,373,499,300 ml,55% off,4.4,"1,664"
"Parachute Advansed Deep Nourish Body Lotion, 600ml",258,550,600 ml,22% off,4.3,314
shat pratishat 100% Natural Body Lotion Rose,275,349,200 ml,6% off,4.5,11
WHEEZAL GLOW BRIGHT MOISTURISING BODY LOTION (WITH CALE...,470,429,500 ml,5% off,4.3,"6,485"
GOOD VIBES Vitamin C Glow Body Lotion (200 ml),210,945,200 ml,15% off,4.3,"56,541"
RICHFEEL Moisturizer Enriched With Aloe Leaf Juice |For...,156,450,100 ml,62% off,4.3,402
Vaseline intensive Care Deep Nourishing Body Lotion Moi...,441,435,600 ml,29% off,4.5,17
mCaffeine Sweet Escape Perfume Body Lotion |Deeply Butt...,373,500,300 ml,22% off,4.5,8
VLCC Almond Honey Deep Nourishing & Skin Brightening Bo...,417,357,350 ml,75% off,4.4,310
MRHM I-MOIST MATTE FINISH LOTION PACK OF 2,607,279,100 ml,3% off,3.7,26
BAJAJ Almond Drops Nourishing Body Lotion,159,770,400 ml,10% off,4.3,"84,617"
"Vaseline Healthy Bright Daily Brightening Body Lotion,V...",378,"1,399",400 ml,28% off,4.3,109
Jovees Herbal Fairness Lotion SPF 25 - Liquorice with U...,236,495,100 ml,28% off,4.6,13
Ayouthveda Delicate Skin Moisturiser Body Lotion|Pancht...,384,349,300 ml,28% off,4.3,"91,510"
RCM NYSA Deep Moisturizing Body Lotion (2 x 200ml- Pric...,242,577,400 ml,25% off,4.3,"25,009"
NIVEA Body Milk Body Lotion 400ML (Pack Of 2),701,350,800 ml,55% off,4.4,770
Multani Natural Cocoa Butter & Aloevera Body Lotion | N...,70,499,100 ml,12% off,4.2,13
Vaseline Healthy Bright Sun+Pollution Protection Body L...,409,375,400 ml,53% off,4.6,27
Glymax Intensive Skin Hydrator Lotion,372,245,200 ml,17% off,4.2,40
Sunny Herbals Cocoa Butter Lotion (100ml) -pack 2,198,499,100 ml,32% off,4.3,"2,47,834"
Parachute Advansed Advansed Soft Touch Body Lotion,353,575,800 ml,25% off,4.4,"3,98,320"
POND's Niacinamide Nourishing Body Lotion 400 ml,349,659,400 ml,6% off,4.4,441
NIVEA Cocoa Nourish Lotion 400 Ml ( Pack Of 1),414,275,400 ml,9% off,4.6,15
Secret Temptation Ultra Rich Hydration Body Lotion | De...,338,999,400 ml,60% off,4.2,"64,529"
TRUMIST Moisturizing Lotion,394,580,200 g,30% off,4.4,"1,98,315"
DOVE Nourishing Body Care Intensive Body Lotion 400ml,834,649,400 ml,35% off,4.3,"1,912"
Joy Honey & Almonds Advanced Nourishing Body Lotion For...,200,499,500 ml,43% off,4.9,48
Vaseline intensive Care Deep Moisture Nourishing Body L...,339,999,400 ml,11% off,4.3,126
Atrimed Moish Ayurvedic Moisturizer Pack Of 2,470,550,400 ml,13% off,4.3,"14,905"
SWR i-Moist Lotion with Aloe Vera & Vitamin E (Matte Fi...,338,399,100 ml,12% off,4.5,"1,22,214"
Cetaphil DAM DAILY ADVANCE ULTRA HYDRATING LOTION,237,540,30 g,30% off,4.5,60
Parachute Advansed Deep Nourish Body Lotion,292,390,800 ml,42% off,4,82
HAMIDI LUXURY SHAMS EDITION AMBRE BODY LOTION,980,440,500 ml,4% off,4.4,"2,618"
NIVEA Nourishing Lotion Body Milk 400ml,383,249,400 ml,58% off,4.4,"20,469"
Zazla sun protection lotion,85,750,100 g,30% off,4.3,69
DEWSOFT LOTION NUTRIENT RICH MOISTURIZATION,559,80,200 ml,16% off,4.6,61
Vaseline Gluta Hya Dewy Radiance,315,585,200 ml,3% off,4.6,57
Vaseline Intensive Care Cocoa Glow Nourishing Body Seru...,359,349,400 ml,36% off,4,21
Kulsum's Kaya Kalp Honey & Almond Deep Moisturizing Lot...,270,600,100 ml,35% off,4.5,"2,87,188"
AlAroma Leafs Moisturizing Lotion,176,850,475,55% off,4.4,"1,664"
mCaffeine Summer Breeze Perfume Body Lotion | Deeply Mo...,373,499,300 ml,22% off,4.7,35
"Parachute Advansed Deep Nourish Body Lotion, 600ml",258,345,600 ml,24% off,4.9,7
HYDRONIC Moisturizing Lotion 200ml,575,225,200 ml,29% off,4.3,"6,485"
Herbs and Pure Skin Nourishing Body Lotion with Coconut...,128,675,200 ml,15% off,4.3,"56,541"
ST.IVES SOOTHING OATMEAL & SHEA BUTTER BODY LOTION IMPO...,826,199,621 ml,62% off,4.2,141
LUPI AQUA Moisturizing Lotion,576,450,150 ml,18% off,4.3,499
Vaseline intensive Care Deep Nourishing Body Lotion Moi...,441,435,600 ml,43% off,4.4,182
mCaffeine Sweet Escape Perfume Body Lotion |Deeply Butt...,373,350,300 ml,17% off,4.3,3
BioSilk Big Pack Of Daily Moisturizing Lotion,936,399,300 ml,27% off,3.7,26
Epiclin Cleansing Lotion 2*150,500,279,300 ml,10% off,4.3,"84,617"
BAJAJ Almond Drops Nourishing Body Lotion,159,770,400 ml,28% off,4.4,180
"Vaseline Healthy Bright Daily Brightening Body Lotion,V...",378,357,400 ml,67% off,4.3,156
Nutriglow Advanced Organics Skin Whitening Moisturizer ...,250,440,200 ml,7% off,4.3,"91,510"
Pure Roots Moisturiser Lotion - Pack of 2 ( 300ml * 2 ),249,330,600 ml,25% off,4.3,"25,009"
Vaseline Blueseal Nourishing Skin Jelly Vitamin E,220,439,100 ml,55% off,4.1,60
Oryza CERAMAX Intensive Moisturizing Lotion | 72 Hours ...,647,350,250 ml,35% off,4.2,37
Multani Natural Cocoa Butter & Aloevera Body Lotion | N...,70,499,100 ml,7% off,4.4,60
Vaseline Healthy Bright Sun+Pollution Protection Body L...,409,850,400 ml,2% off,4.3,"7,115"
MANCODE Raw Perfumed Body Lotion with D Panthanol Pro V...,201,530,200 ml,32% off,4.3,"2,47,834"
PHYSIOGEL Daily Moisture Therapy Dermo Cleanser,573,499,150 ml,25% off,4.4,"3,98,320"
Parachute Advansed Advansed Soft Touch Body Lotion,353,575,800 ml,20% off,4.3,242
POND's Niacinamide Nourishing Body Lotion 400 ml,349,595,400 ml,35% off,4.2,271
LOTUS HERBALS Safe Sun Anti Tan Body Lotion SPF 25 PA++...,288,230,250 ml,60% off,4.2,"64,529"
ASSURE Hand & Body Lotion Enriched with Natural Olive O...,217,700,250 ml,30% off,4.4,"1,98,315"
Hydrilla AD moisturizing lotion 200ml,430,"1,260",200 ml,23% off,4.1,"3,297"
HIMALAYA Aloe & Cucumber Refreshing Body Lotion,129,649,200 ml,8% off,4.3,695
Joy Honey & Almonds Advanced Nourishing Body Lotion For...,200,499,500 ml,11% off,4.4,"4,005"
Vaseline intensive Care Deep Moisture Nourishing Body L...,339,323,400 ml,8% off,4.4,381
Aaryanveda Ayurvedic Hydra Moisturizing Face & Body Lot...,266,400,1000 ml,12% off,4.3,"14,905"
Vanalaya Alovera Moisturizing Lotion with shea butter V...,281,399,300 ml,30% off,4.5,"1,22,214"
Cetaphil DAM DAILY ADVANCE ULTRA HYDRATING LOTION,237,540,30 g,42% off,4.1,27
Parachute Advansed Deep Nourish Body Lotion,292,160,800 ml,58% off,4.4,104
DOVE Beauty Cream,292,"1,240",75 ml,30% off,4.4,"2,618"
Pure Roots Almond & Honey Lotion Pack Of 2,249,380,300 ml,4% off,4.4,"20,469"
BIOTIQUE MORNING NECTAR Nourish & Hydrate Moisturizer,273,650,190 ml,42% off,4.3,224
Oriflame Milk & Honey Gold Moisturising Hand Cream,320,80,75 ml,14% off,4.4,136
Vaseline Gluta Hya Dewy Radiance,315,585,200 ml,13% off,4.5,173
Vaseline Intensive Care Cocoa Glow Nourishing Body Seru...,359,590,400 ml,55% off,4.1,282
"CARLTON LONDON Body Lotion for Men, Nourishes & Hydrati...",280,850,100 ml,22% off,4.5,"2,87,188"
NYKAA Body Lotion - Mediterranean Sea Salt,488,499,300 ml,48% off,4.4,"1,664"
mCaffeine Summer Breeze Perfume Body Lotion | Deeply Mo...,373,"2,341",300 ml,10% off,4.2,511
"Parachute Advansed Deep Nourish Body Lotion, 600ml",258,"1,199",600 ml,15% off,4.2,675
JOVEES Herbal Himalayan Cherry Pro-Collagen Hand and Bo...,386,395,500 ml,62% off,4.3,"6,485"
Valomoist Lotion,229,"1,095",100 ml,55% off,4.3,"56,541"
PALMER'S Cocoa butter Formula Heals Soften 24 hours Moi...,648,450,400 ml,19% off,4.3,10
Aveeno Daily Moisturizing Lotion,"1,234",435,354 ml,15% off,4.1,47
Vaseline intensive Care Deep Nourishing Body Lotion Moi...,441,500,600 ml,65% off,4.4,9
mCaffeine Sweet Escape Perfume Body Lotion |Deeply Butt...,373,625,300 ml,28% off,4.4,59
LOTUS HERBALS Herbals Almondnourish Daily Nourishing Bo...,258,279,250 ml,25% off,3.7,26
Pilgrim Vitamin C Body Serum Lotion With Kakadu Plum & ...,260,770,150 ml,6% off,4.3,"84,617"
BAJAJ Almond Drops Nourishing Body Lotion,159,575,400 ml,65% off,4.5,11
"Vaseline Healthy Bright Daily Brightening Body Lotion,V...",378,249,400 ml,55% off,4.4,37
Oshea Herbals Cocoahoney Moisturising Lotion | 50 ml,123,460,50 ml,32% off,4.3,"91,510"
Cetaphil Moisturising Lotion For All Skin (Pack Of 2),"1,140",998,200 ml,14% off,4.3,"25,009"
sgmoist Moisturising lotion 100 ml pack of 2,338,499,200 ml,47% off,4.5,918
Skinetics Moisturizing Lotion (Pack of 2),593,499,400 ml,25% off,4.2,569
Multani Natural Cocoa Butter & Aloevera Body Lotion | N...,70,320,100 ml,25% off,4.5,8
Vaseline Healthy Bright Sun+Pollution Protection Body L...,409,499,400 ml,60% off,4.6,243
Aurelderma Moisoft Intensive moisturising lotion (Pack ...,339,575,100 ml,30% off,4.3,"2,47,834"
NIDUS Nidsoft Moisturising Lotion For,353,649,100 ml,34% off,4.4,"3,98,320"
Parachute Advansed Advansed Soft Touch Body Lotion,349,299,800 ml,5% off,4.8,63
POND's Niacinamide Nourishing Body Lotion 400 ml,"2,247",349,400 ml,25% off,4.3,39
"Cetaphil Restoraderm, Skin Restoring Body Moisturizer, ...",686,"1,764",295 ml,30% off,4.2,"64,529"
JERGENS Ultra Healing Extra Dry Skin Moisturizer,338,130,399 ml,6% off,4.4,"1,98,315"
inatur Niacinamide Body Lotion | Anti-Acne & Non-Sticky...,948,399,400 ml,8% off,4.3,"91,510"
NIVEA Body Care Body Lotion Cocoa Butter Dry Skin 400ml...,200,540,400 ml,12% off,4.1,196
Joy Honey & Almonds Advanced Nourishing Body Lotion For...,339,355,500 ml,58% off,4.5,61
Vaseline intensive Care Deep Moisture Nourishing Body L...,260,450,400 ml,41% off,4.3,110
UrbanMooch SPF 50 PA+++Sunscreen Body Lotion | Niacinam...,562,499,200 ml,9% off,4.5,"1,22,214"
LOTUS HERBALS Wg Skin Whitening & Brightening Hand & Bo...,237,585,400 ml,30% off,4.4,"2,618"
Cetaphil DAM DAILY ADVANCE ULTRA HYDRATING LOTION,292,450,30 g,55% off,4.6,5
Parachute Advansed Deep Nourish Body Lotion,258,550,800 ml,5% off,5,4
"Parachute Advansed Soft Touch Body Lotion, 600ml",201,80,600 ml,14% off,4.4,"20,469"
GLIMLACH Calamine Anti-Itch Body lotion for All Type Sk...,389,850,100 ml,9% off,4.5,"2,87,188"
Vaseline COMPLETE 10 HEALTHY BRIGHT SKIN BENEFITS BODY ...,345,"1,090",402,28% off,4.4,198
GlowPop 10% AHA + 1% BHA Body Lotion - Smooths Rough & ...,359,389,400 ml,22% off,4.1,24
Vaseline Intensive Care Cocoa Glow Nourishing Body Seru...,373,499,400 ml,39% off,4.5,"3,541"
mCaffeine Summer Breeze Perfume Body Lotion | Deeply Mo...,300,450,300 ml,3% off,4.5,22
"Nidsoft Moisturising Intense Hydrating Lotion, Ultra Li...",173,520,100 ml,22% off,4.3,"6,485"
"Odilo Honey & Almonds Advanced Nourishing Body Lotion, ...",258,435,500 ml,15% off,4.3,"56,541"
"Parachute Advansed Deep Nourish Body Lotion, 600ml",441,399,600 ml,62% off,4.6,16
Vaseline intensive Care Deep Nourishing Body Lotion Moi...,255,580,600 ml,22% off,4.1,106
Avon Naturals Milk and Honey Hand and Body Lotion,184,435,200 ml,82% off,4.4,"1,664"
Volamena AHA BHA Body Lotion for Pigmentation & Body Ac...,"1,318",729,200 ml,8% off,4.3,"84,617"
venusia VenusiaMax Insetive Moisturizing Lotion(300gm),97,699,600 g,39% off,4.2,"7,273"
Sunny Herbals Fruit Lotion,159,"2,190",100 ml,28% off,4.3,"2,786"
BAJAJ Almond Drops Nourishing Body Lotion,378,279,400 ml,10% off,4.3,188
"Vaseline Healthy Bright Daily Brightening Body Lotion,V...",231,850,400 ml,12% off,4.3,84
Dewderm Moisturizing Lotion 100g,426,520,100 g,25% off,3.7,26
"Vaseline Healthy Bright Daily Brightening Body Lotion, ...",373,"1,398",400 ml,55% off,4.3,"91,510"
mCaffeine Sweet Escape Perfume Body Lotion |Deeply Butt...,409,390,300 ml,35% off,4.3,524
Vaseline Healthy Bright Sun+Pollution Protection Body L...,399,750,400 ml,35% off,4.2,246
WOW SKIN SCIENCE Ubtan With Lactic Acid Body Lotion,199,515,400 ml,37% off,4.3,"25,009"
BIOTIQUE Bio Creamy Coconut Ultra rich body lotion,423,350,100 ml,62% off,4.3,"2,47,834"
Dermoys 365 Lotion-100ML,506,395,100 ml,32% off,5,4
"Brinton Atomist Skin Barrier Repair Lotion for Dry, Itc...",70,499,150 ml,25% off,4.4,110
Multani Natural Cocoa Butter & Aloevera Body Lotion | N...,353,575,100 ml,20% off,4.3,286
Parachute Advansed Advansed Soft Touch Body Lotion,640,595,800 ml,15% off,4.4,929
Bake Cosmetics 2% Kojic Acid Body Lotion SPF 30 PA+++ f...,353,80,400 ml,60% off,4.4,"3,98,320"
Oriflame Sweden Glow Essentials Body Lotion with Vitami...,349,399,250 ml,30% off,4.5,"50,738"
POND's Niacinamide Nourishing Body Lotion 400 ml,200,599,400 ml,40% off,4.4,107
Joy Honey & Almonds Advanced Nourishing Body Lotion For...,489,649,500 ml,16% off,4.2,"64,529"
Emollient HYDROFIL Lotion,373,499,400 ml,29% off,4.4,"1,98,315"
"Vaseline Cocoa Glow Body Lotion, 400 ml Pk Of 1",363,798,400 ml,20% off,4.4,"1,132"
LILIUM Herbal Honey & Almond Body Lotion Pack of 1,413,"1,495",500 ml,12% off,5,5
Nature's Essence NOURISHING BODY LOTION ALMOND & HONEY ...,339,399,800 ml,30% off,4.1,8
Vaseline intensive Care Deep Moisture Nourishing Body L...,444,540,400 ml,10% off,4.2,592
Vaseline Intensive Care Cocoa Glow 48hr long lasting Mo...,675,449,600 ml,35% off,4.5,"1,22,214"
NMF Lotion For Moisturizing,"1,695",550,451 ml,58% off,4.3,"14,905"
The Face Shop White Seed Brightening Face Lotion with N...,237,140,145 ml,30% off,4.2,6
Cetaphil DAM DAILY ADVANCE ULTRA HYDRATING LOTION,323,798,30 g,22% off,4.4,"2,618"
Parachute Advansed Deep Nourish Body Lotion,405,80,800 ml,51% off,4.4,"20,469"
Allen Ayur OlivAllen Body Oil (Pack of 2),239,585,900 ml,49% off,4.3,156
"cosmofine Body Lotion for Deep Moisturization, Hydratio...",358,400,200 ml,14% off,4.3,"1,345"
Adroit CALLAN MOISTURIZING LOTION,453,550,100 ml,55% off,4.5,121
VI-JOHN Body Lotion Combo of 3 | 250 ml Each | For Men ...,370,850,750 ml,22% off,4.4,124
Vaseline Intensive Care Cocoa Glow Nourishing Body Seru...,315,499,400 ml,29% off,4.5,"2,87,188"
Vaseline Gluta Hya Dewy Radiance,347,270,200 ml,40% off,4.4,"1,664"
inatur Shea Butter Lotion | Deep Hydrating Moisturizer ...,475,429,400 ml,15% off,4.2,"1,311"
Plum Lovin' Vanilla Caramello Body,373,219,400 ml,62% off,4.3,"6,485"
mCaffeine Summer Breeze Perfume Body Lotion | Deeply Mo...,258,700,300 ml,80% off,4.3,"56,541"
"Parachute Advansed Deep Nourish Body Lotion, 600ml",386,450,600 ml,24% off,4.4,267
JOVEES Herbal Honey and Grapes Hand and Body Lotion,52,435,500 ml,35% off,4.6,134
"KEYA SETH AROMATHERAPY Heel Healing Lotion, for Softens...",250,545,35 ml,28% off,4.3,"14,029"
"BOROPLUS Body Lotion |24 hour moisturisation|Dhoodh, Ba...",227,699,400 ml,10% off,4.2,"1,164"
enega Moisturising Body Lotion-Goat Milk Protein (Non G...,441,279,300 ml,15% off,3.7,26
Vaseline intensive Care Deep Nourishing Body Lotion Moi...,373,850,600 ml,30% off,4.3,"84,617"
mCaffeine Sweet Escape Perfume Body Lotion |Deeply Butt...,638,699,300 ml,25% off,4.1,44
Mamaearth Vitamin C Sunscreen Body Lotion SPF 30 - 300 ...,"1,269",450,600 ml,55% off,4.2,79
Body Shop Shea Moisturizer Body Lotion,159,375,200 ml,20% off,4.3,"91,510"
BAJAJ Almond Drops Nourishing Body Lotion,378,515,400 ml,55% off,4.3,"25,009"
"Vaseline Healthy Bright Daily Brightening Body Lotion,V...",269,350,400 ml,21% off,4.6,36
TAC - The Ayurveda Co. Rose Body Lotion for Dry Skin Wi...,461,798,250 ml,24% off,4.5,23
Dewderm moisturising lotion - moisturizer for dry skin(...,99,"1,999",200 g,32% off,4.2,399
BIOTIQUE Bio Winter Cherry Rejuvenating Body Nourisher,638,499,120 ml,25% off,4.7,23
Mamaearth Ubtan Sunscreen Body Lotion SPF 30 300 ml (Pa...,70,575,600 ml,26% off,4.3,"2,47,834"
Multani Natural Cocoa Butter & Aloevera Body Lotion | N...,409,550,100 ml,18% off,4.4,"3,98,320"
Vaseline Healthy Bright Sun+Pollution Protection Body L...,358,300,400 ml,60% off,4.4,23
OAKNET EFATOP PE Lotion,357,506,100 ml,30% off,4.4,73
KHADI NATURAL Organic Almond & Saffron Moisturizer-SLS ...,353,750,420,17% off,4.2,"64,529"
Parachute Advansed Advansed Soft Touch Body Lotion,349,649,800 ml,3% off,4.4,"1,98,315"
POND's Niacinamide Nourishing Body Lotion 400 ml,210,499,400 ml,33% off,4.5,15
Sunny Herbals Moisturizing Lotion with Aloe Vera and Ro...,209,595,100 ml,51% off,4.4,55
Oriflame Sweden Feet Up Comfort Overnight Moisturising ...,111,500,75 ml,12% off,4.3,80
Nature's Essence Almond & Honey Nourishing Whitening Bo...,599,399,400 ml,30% off,4.3,115
"PALMER'S Cocoa Butter Formula Heals Softens, With Vitam...",200,540,400 ml,10% off,4.5,"1,22,214"
Joy Honey & Almonds Advanced Nourishing Body Lotion For...,339,525,500 ml,23% off,4.3,"14,905"
Vaseline intensive Care Deep Moisture Nourishing Body L...,383,395,400 ml,58% off,3.9,"4,142"
"Bake 10% Niacinamide Body Lotion SPF 30 for Acne Marks,...",418,510,200 ml,30% off,4.5,19
"Vaseline Aloe Fresh Body Lotion,24 HR Long Lasting Mois...",237,660,600 ml,73% off,4.4,"2,618"
Cetaphil DAM DAILY ADVANCE ULTRA HYDRATING LOTION,323,80,30 g,45% off,4.4,"20,469"
Parachute Advansed Deep Nourish Body Lotion,139,585,800 ml,48% off,4.2,"2,304"
INTIMIFY Body Lotion For Women | SPF 50 | Ideal For Oil...,341,749,100 ml,55% off,4.3,741
Logifeel Moisturising Body Lotion 250ml,243,498,250 ml,22% off,4.7,3
JOVEES Body Lotion (HIMALAYAN CHERRY)-,285,850,300 ml,24% off,4.6,5
Parachute Advansed Refresh Body Lotion,370,499,250 ml,9% off,4.5,"2,87,188"
Vaseline Intensive Care Cocoa Glow Nourishing Body Seru...,315,"3,432",400 ml,15% off,4.4,"1,664"
Vaseline Gluta Hya Dewy Radiance,678,299,200 ml,62% off,4.2,109
Dr Batra's Natural Moisturizing Lotion Enriched With Ec...,"1,393","1,699",800 ml,6% off,4.2,31
BATH & BODY WORKS A Thousand Wishes Body Lotion 24 Hr M...,373,349,236 ml,43% off,4.3,"6,485"
mCaffeine Summer Breeze Perfume Body Lotion | Deeply Mo...,258,450,300 ml,67% off,4.3,"56,541"
"Parachute Advansed Deep Nourish Body Lotion, 600ml",439,435,600 ml,5% off,4.6,87
NIVEA Extra Whitening Cell Repair Body Lotion SPF 15,134,600,400 ml,28% off,4.4,879
VICCO Body Lotion/Moisturiser(Turmeric Skin Cream in Oi...,398,250,300 ml,10% off,4.1,"7,513"
Glymax Intensive Skin Hydrator Lotion (For All Skin Typ...,569,279,200 ml,20% off,3.7,26
CLARIDO DAILY MOISTURIZING LOTION (PACK OF 2),441,850,300 ml,1% off,4.3,"84,617"
Vaseline intensive Care Deep Nourishing Body Lotion Moi...,373,425,600 ml,25% off,3.9,69
mCaffeine Sweet Escape Perfume Body Lotion |Deeply Butt...,436,750,300 ml,55% off,4.6,23
Lotus Organics+ Divine Nutritive Hydrating Lotion SPF 2...,408,"1,800",50 ml,32% off,4.3,"91,510"
Vaseline DEEP MOISTURE BODY LOTION 600 ML X PACK OF 1),159,450,600 g,48% off,4.3,"25,009"
BAJAJ Almond Drops Nourishing Body Lotion,378,515,400 ml,27% off,3.7,3
"Vaseline Healthy Bright Daily Brightening Body Lotion,V...",432,350,400 ml,57% off,4.1,11
Dewderm moisturising lotion - best moisturising lotion ...,380,500,200 ml,32% off,4.1,231
Ceratop ULTRA Lotion For Skin Nourishing,340,434,100 ml,25% off,4.4,77
Parachute Advansed Deep Nourish Body Lotion With Pure C...,318,499,500 ml,22% off,4.3,"2,47,834"
MEGHDOOT Aloevera Cucumber Body Lotion 500ml (Pack of 2...,70,575,1000 ml,37% off,4.4,"3,98,320"
Multani Natural Cocoa Butter & Aloevera Body Lotion | N...,409,250,100 ml,60% off,4.3,766
Vaseline Healthy Bright Sun+Pollution Protection Body L...,674,492,400 ml,30% off,4.2,"64,529"
PALMER'S Cocoa Butter Tummy Butter 4.4 oz. Jar # 4076,383,545,130 ml,13% off,4.4,"1,98,315"
NIMBARKA NEEM BODY LOTION,353,330,450 ml,6% off,4.3,"19,530"
Parachute Advansed Advansed Soft Touch Body Lotion,349,649,800 ml,6% off,4.2,451
POND's Niacinamide Nourishing Body Lotion 400 ml,912,499,400 ml,32% off,4.6,22
"ANUA HEARTLEAF 70% DAILY LOTION, 200ml",297,310,200 ml,12% off,4.1,83
NIOSOFT MOISTURISING LOTION,934,897,200 ml,30% off,4.5,"1,22,214"
JERGENS Ultra Healing Nourishes Dry Skin Moisturizer 60...,179,399,600 ml,17% off,4.3,"14,905"
